step_created,path_revision,path_point_index,x,y
169,1,1,19.5859693709078,13.8788409830084
169,1,2,19.4,13.8
169,1,3,19.2,13.8
169,1,4,19,13.8
169,1,5,18.8,13.8
169,1,6,18.6,13.8
169,1,7,18.4,13.8
169,1,8,18.2,14
169,1,9,18,14.2
169,1,10,17.8,14.2
169,1,11,17.6,14.2
169,1,12,17.4,14.2
169,1,13,17.2,14.2
169,1,14,17,14.2
169,1,15,16.8,14.2
169,1,16,16.6,14.2
169,1,17,16.4,14.4
169,1,18,16.2,14.6
169,1,19,16,14.6
169,1,20,15.8,14.6
169,1,21,15.6,14.4
169,1,22,15.4,14.2
169,1,23,15.2,14
169,1,24,15,13.8
169,1,25,14.8,13.6
169,1,26,14.6,13.4
169,1,27,14.4,13.4
169,1,28,14.2,13.4
169,1,29,14,13.4
169,1,30,13.8,13.2
169,1,31,13.6,13
169,1,32,13.4,12.8
169,1,33,13.2,12.6
169,1,34,13,12.4
169,1,35,12.8,12.2
169,1,36,12.6,12
169,1,37,12.4,11.8
169,1,38,12.2,11.6
169,1,39,12,11.4
169,1,40,11.8,11.2
169,1,41,11.6,11
169,1,42,11.4,10.8
169,1,43,11.2,10.6
169,1,44,11,10.4
169,1,45,10.8,10.2
169,1,46,10.6,10
169,1,47,10.4,9.8
169,1,48,10.2,9.6
169,1,49,10,9.4
169,1,50,9.8,9.2
169,1,51,9.6,9
169,1,52,9.4,8.8
169,1,53,9.2,8.6
169,1,54,9,8.4
169,1,55,8.8,8.2
169,1,56,8.6,8
169,1,57,8.4,7.8
169,1,58,8.2,7.6
169,1,59,8,7.4
169,1,60,7.8,7.2
169,1,61,7.6,7
169,1,62,7.4,6.8
169,1,63,7.2,6.6
169,1,64,7,6.4
169,1,65,6.8,6.2
169,1,66,6.6,6
169,1,67,6.4,5.8
169,1,68,6.2,5.6
169,1,69,6,5.4
169,1,70,5.8,5.2
169,1,71,5.6,5
169,1,72,5.4,4.8
169,1,73,5.2,4.6
169,1,74,5,4.4
169,1,75,4.8,4.2
169,1,76,4.6,4
169,1,77,4.4,3.8
169,1,78,4.2,3.6
169,1,79,4,3.4
169,1,80,3.8,3.2
169,1,81,3.6,3
169,1,82,3.4,2.8
169,1,83,3.2,2.6
169,1,84,3,2.4
169,1,85,2.8,2.2
169,1,86,2.6,2
169,1,87,2.4,1.8
169,1,88,2.2,1.6
169,1,89,2,1.4
169,1,90,1.8,1.2
169,1,91,1.6,1
169,1,92,1.4,1
169,1,93,1.2,0.8
169,1,94,1,0.8
169,1,95,0.8,0.6
169,1,96,0.6,0.6
