step_created,path_revision,path_point_index,x,y
677,1,1,2.50615958021485,6.08272768796557
677,1,2,3,4.2
762,2,1,2.98180719908787,5.04569692191164
762,2,2,2.98180719908787,5.04569692191164
762,2,3,2.98265951471644,5.04551841831042
762,2,4,2.98436414597356,5.04516141110799
762,2,5,2.98692109285925,5.04462590030434
762,2,6,2.9903303553735,5.04391188589947
762,2,7,2.99459193351632,5.04301936789338
762,2,8,2.9997058272877,5.04194834628608
762,2,9,3.00567203668764,5.04069882107756
762,2,10,3.01249056171614,5.03927079226782
762,2,11,3.02016140237321,5.03766425985686
762,2,12,3.02868455865884,5.03587922384469
762,2,13,3.03806003057303,5.0339156842313
762,2,14,3.04828781811579,5.03177364101669
762,2,15,3.05936792128711,5.02945309420086
762,2,16,3.07130034008699,5.02695404378382
762,2,17,3.08408507451543,5.02427648976556
762,2,18,3.09772212457244,5.02142043214608
762,2,19,3.11128810900089,5.01874287812782
762,2,20,3.12478302780077,5.01624382771078
762,2,21,3.13820688097209,5.01392328089495
762,2,22,3.15155966851484,5.01178123768035
762,2,23,3.16484139042904,5.00981769806696
762,2,24,3.17805204671467,5.00803266205478
762,2,25,3.19119163737173,5.00642612964382
762,2,26,3.20426016240024,5.00499810083409
762,2,27,3.21725762180018,5.00374857562556
762,2,28,3.23018401557156,5.00267755401826
762,2,29,3.24303934371437,5.00178503601217
762,2,30,3.25582360622862,5.0010710216073
762,2,31,3.26853680311431,5.00053551080365
762,2,32,3.28117893437144,5.00017850360122
762,2,33,3.29375,5
762,2,34,3.30625,5
762,2,35,3.31875,5.00078125
762,2,36,3.33125,5.00234375
762,2,37,3.34375,5.0046875
762,2,38,3.35625,5.0078125
762,2,39,3.36875,5.01171875
762,2,40,3.38125,5.01640625
762,2,41,3.39375,5.021875
762,2,42,3.40625,5.028125
762,2,43,3.41875,5.03515625
762,2,44,3.43125,5.04296875
762,2,45,3.44375,5.0515625
762,2,46,3.45625,5.0609375
762,2,47,3.46875,5.07109375
762,2,48,3.48125,5.08203125
762,2,49,3.49375,5.09375
762,2,50,3.50625,5.10625
762,2,51,3.51875,5.11875
762,2,52,3.53125,5.13125
762,2,53,3.54375,5.14375
762,2,54,3.55625,5.15625
762,2,55,3.56875,5.16875
762,2,56,3.58125,5.18125
762,2,57,3.59375,5.19375
762,2,58,3.60625,5.20625
762,2,59,3.61875,5.21875
762,2,60,3.63125,5.23125
762,2,61,3.64375,5.24375
762,2,62,3.65625,5.25625
762,2,63,3.66875,5.26875
762,2,64,3.68125,5.28125
762,2,65,3.69375,5.29375
762,2,66,3.70625,5.30625
762,2,67,3.71875,5.31796875
762,2,68,3.73125,5.32890625
762,2,69,3.74375,5.3390625
762,2,70,3.75625,5.3484375
762,2,71,3.76875,5.35703125
762,2,72,3.78125,5.36484375
762,2,73,3.79375,5.371875
762,2,74,3.80625,5.378125
762,2,75,3.81875,5.38359375
762,2,76,3.83125,5.38828125
762,2,77,3.84375,5.3921875
762,2,78,3.85625,5.3953125
762,2,79,3.86875,5.39765625
762,2,80,3.88125,5.39921875
762,2,81,3.89375,5.4
762,2,82,3.90625,5.4
762,2,83,3.91875,5.4
762,2,84,3.93125,5.4
762,2,85,3.94375,5.4
762,2,86,3.95625,5.4
762,2,87,3.96875,5.4
762,2,88,3.98125,5.4
762,2,89,3.99375,5.4
762,2,90,4.00625,5.4
762,2,91,4.01875,5.4
762,2,92,4.03125,5.4
762,2,93,4.04375,5.4
762,2,94,4.05625,5.4
762,2,95,4.06875,5.4
762,2,96,4.08125,5.4
762,2,97,4.09375,5.4
762,2,98,4.10625,5.4
762,2,99,4.11875,5.40078125
762,2,100,4.13125,5.40234375
762,2,101,4.14375,5.4046875
762,2,102,4.15625,5.4078125
762,2,103,4.16875,5.41171875
762,2,104,4.18125,5.41640625
762,2,105,4.19375,5.421875
762,2,106,4.20625,5.428125
762,2,107,4.21875,5.43515625
762,2,108,4.23125,5.44296875
762,2,109,4.24375,5.4515625
762,2,110,4.25625,5.4609375
762,2,111,4.26875,5.47109375
762,2,112,4.28125,5.48203125
762,2,113,4.29375,5.49375
762,2,114,4.30625,5.50625
762,2,115,4.31875,5.51875
762,2,116,4.33125,5.53125
762,2,117,4.34375,5.54375
762,2,118,4.35625,5.55625
762,2,119,4.36875,5.56875
762,2,120,4.38125,5.58125
762,2,121,4.39375,5.59375
762,2,122,4.40625,5.60625
762,2,123,4.41875,5.61875
762,2,124,4.43125,5.63125
762,2,125,4.44375,5.64375
762,2,126,4.45625,5.65625
762,2,127,4.46875,5.66875
762,2,128,4.48125,5.68125
762,2,129,4.49375,5.69375
762,2,130,4.50625,5.70625
762,2,131,4.51875,5.71875
762,2,132,4.53125,5.73125
762,2,133,4.54375,5.74375
762,2,134,4.55625,5.75625
762,2,135,4.56875,5.76875
762,2,136,4.58125,5.78125
762,2,137,4.59375,5.79375
762,2,138,4.60625,5.80625
762,2,139,4.61875,5.81875
762,2,140,4.63125,5.83125
762,2,141,4.64375,5.84375
762,2,142,4.65625,5.85625
762,2,143,4.66875,5.86875
762,2,144,4.68125,5.88125
762,2,145,4.69375,5.89375
762,2,146,4.70625,5.90625
762,2,147,4.71796875,5.91875
762,2,148,4.72890625,5.93125
762,2,149,4.7390625,5.94375
762,2,150,4.7484375,5.95625
762,2,151,4.75703125,5.96875
762,2,152,4.76484375,5.98125
762,2,153,4.771875,5.99375
762,2,154,4.778125,6.00625
762,2,155,4.78359375,6.01875
762,2,156,4.78828125,6.03125
762,2,157,4.7921875,6.04375
762,2,158,4.7953125,6.05625
762,2,159,4.79765625,6.06875
762,2,160,4.79921875,6.08125
762,2,161,4.8,6.09375
762,2,162,4.8,6.10625
