step_created,path_revision,path_point_index,x,y
503,1,1,7.40162136966047,1.95571315485605
503,1,2,5.2,1.8
693,2,1,7.05231668384899,1.54732503362645
693,2,2,6.8,1.8
693,2,3,6.6,2
693,2,4,6.4,2.2
693,2,5,6.2,2.4
693,2,6,6,2.6
693,2,7,5.8,2.8
693,2,8,5.6,3
693,2,9,5.4,3.2
693,2,10,5.2,3.4
693,2,11,5,3.6
693,2,12,4.8,3.8
693,2,13,4.6,4
693,2,14,4.4,4.2
693,2,15,4.4,4.4
693,2,16,4.4,4.6
693,2,17,4.4,4.8
693,2,18,4.4,5
693,2,19,4.4,5.2
693,2,20,4.4,5.4
693,2,21,4.4,5.6
693,2,22,4.4,5.8
693,2,23,4.4,6
693,2,24,4.4,6.2
693,2,25,4.4,6.4
693,2,26,4.4,6.6
693,2,27,4.4,6.8
693,2,28,4.2,7
693,2,29,4,7.2
693,2,30,3.8,7.4
693,2,31,3.6,7.6
693,2,32,3.4,7.6
693,2,33,3.2,7.6
693,2,34,3,7.4
693,2,35,2.8,7.2
693,2,36,2.8,7
693,2,37,2.8,6.8
693,2,38,2.8,6.6
693,2,39,2.8,6.4
693,2,40,2.8,6.2
693,2,41,2.8,6
693,2,42,2.8,5.8
693,2,43,2.8,5.6
693,2,44,2.8,5.4
693,2,45,2.8,5.2
693,2,46,2.8,5
693,2,47,2.8,4.8
693,2,48,2.8,4.6
693,2,49,2.8,4.4
693,2,50,2.8,4.2
693,2,51,2.8,4
693,2,52,2.8,3.8
693,2,53,2.8,3.6
693,2,54,2.8,3.4
693,2,55,2.6,3.2
693,2,56,2.6,3
927,3,1,4.13433588764459,7.03662081335034
927,3,2,4,7.2
927,3,3,3.8,7.4
927,3,4,3.6,7.6
927,3,5,3.4,7.6
927,3,6,3.2,7.6
927,3,7,3,7.4
927,3,8,2.8,7.2
927,3,9,2.8,7
927,3,10,2.8,6.8
927,3,11,2.8,6.6
927,3,12,2.8,6.4
927,3,13,2.8,6.2
927,3,14,2.8,6
927,3,15,2.8,5.8
927,3,16,2.8,5.6
927,3,17,2.8,5.4
927,3,18,2.8,5.2
927,3,19,2.8,5
927,3,20,2.8,4.8
927,3,21,2.8,4.6
927,3,22,2.8,4.4
927,3,23,2.8,4.2
927,3,24,2.8,4
927,3,25,2.8,3.8
927,3,26,2.8,3.6
927,3,27,2.8,3.4
927,3,28,2.6,3.2
927,3,29,2.6,3
