step_created,path_revision,path_point_index,x,y
100,1,1,9.21019258679315,8.01608866260039
100,1,2,7.8,6.8
721,2,1,7.09686741373375,1.51140605282032
721,2,2,4.8,1.4
931,3,1,6.85047629882718,1.10770401539934
931,3,2,6.6,1.4
931,3,3,6.4,1.6
931,3,4,6.2,1.8
931,3,5,6,2
931,3,6,5.8,2.2
931,3,7,5.6,2.4
931,3,8,5.4,2.6
931,3,9,5.2,2.8
931,3,10,5,3
931,3,11,4.8,3.2
931,3,12,4.6,3.4
931,3,13,4.6,3.6
931,3,14,4.6,3.8
931,3,15,4.6,4
931,3,16,4.6,4.2
931,3,17,4.6,4.4
931,3,18,4.6,4.6
931,3,19,4.6,4.8
931,3,20,4.6,5
931,3,21,4.6,5.2
931,3,22,4.6,5.4
931,3,23,4.6,5.6
931,3,24,4.6,5.8
931,3,25,4.6,6
931,3,26,4.6,6.2
931,3,27,4.6,6.4
931,3,28,4.6,6.6
931,3,29,4.4,6.8
931,3,30,4.2,7
931,3,31,4,7.2
931,3,32,3.8,7.4
931,3,33,3.6,7.6
931,3,34,3.4,7.6
931,3,35,3.2,7.6
931,3,36,3,7.4
931,3,37,2.8,7.2
931,3,38,2.8,7
931,3,39,2.8,6.8
931,3,40,2.8,6.6
931,3,41,2.8,6.4
931,3,42,2.8,6.2
931,3,43,2.8,6
931,3,44,2.8,5.8
931,3,45,2.8,5.6
931,3,46,2.8,5.4
931,3,47,2.8,5.2
931,3,48,2.8,5
931,3,49,2.6,4.8
931,3,50,2.6,4.6
931,3,51,2.4,4.4
931,3,52,2.4,4.2
931,3,53,2.2,4
931,3,54,2.2,3.8
931,3,55,2,3.6
931,3,56,2,3.4
931,3,57,1.8,3.2
931,3,58,1.8,3
931,3,59,1.8,2.8
931,3,60,1.6,2.6
931,3,61,1.6,2.4
931,3,62,1.4,2.2
931,3,63,1.4,2
931,3,64,1.2,1.8
931,3,65,1.2,1.6
931,3,66,1,1.4
931,3,67,1,1.2
931,3,68,0.8,1
931,3,69,0.8,0.8
1147,4,1,4.53387056498333,6.22428758376608
1147,4,2,4.4,6.4
1147,4,3,4.4,6.6
1147,4,4,4.2,6.8
1147,4,5,4,7
1147,4,6,4,7.2
1147,4,7,3.8,7.4
1147,4,8,3.6,7.6
1147,4,9,3.4,7.6
1147,4,10,3.2,7.6
1147,4,11,3,7.4
1147,4,12,2.8,7.2
1147,4,13,2.8,7
1147,4,14,2.8,6.8
1147,4,15,2.8,6.6
1147,4,16,2.8,6.4
1147,4,17,2.8,6.2
1147,4,18,2.8,6
1147,4,19,2.8,5.8
1147,4,20,2.8,5.6
1147,4,21,2.8,5.4
1147,4,22,2.8,5.2
1147,4,23,2.8,5
1147,4,24,2.8,4.8
1147,4,25,2.8,4.6
1147,4,26,2.8,4.4
1147,4,27,2.8,4.2
1147,4,28,2.8,4
1147,4,29,2.8,3.8
1147,4,30,2.6,3.6
1147,4,31,2.4,3.4
1147,4,32,2.2,3.2
1147,4,33,2,3
1147,4,34,1.8,2.8
1147,4,35,1.6,2.6
1147,4,36,1.6,2.4
1147,4,37,1.4,2.2
1147,4,38,1.4,2
1147,4,39,1.2,1.8
1147,4,40,1.2,1.6
1147,4,41,1,1.4
1147,4,42,1,1.2
1147,4,43,0.8,1
1147,4,44,0.8,0.8
