step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,pf_weakly_unique,2.4,9.2,1.64204916056151,1.65290995778378,9.20043200823563,1.83965680048927,0.747090167121579,0.197607639927758,0,-0.55,0.8289184483242,1.31312084304009,1.0758177899505,0.0689088768293027,1.01,Inf,Inf,1,NaN,6.98569967862919,7.67615238933523,0.606814959203706,3.43242715907334,3,0,0,0.8289184483242,1.31312084304009,1.0758177899505,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.138808466759405,0.138808466759405,NaN,0.0689088768293027,NaN,0,0,0,0,0.055,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,scan_match_warn,2.39999527989392,9.20010835550046,1.58661104106353,1.65938140325879,9.20375269781605,1.82165070797046,0.740622842947363,0.235039666906927,0,-0.55,0.774216020984479,1.11794380241202,1.07603133814155,0.054744487745231,1.02,Inf,Inf,1,NaN,6.98574743459307,7.67134037405702,0.857310278600578,1.02373166462151,2,0,0,0.774216020984479,1.11794380241202,1.07603133814155,0.103108969186442,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.170309233314957,0.144478604739404,NaN,0.0663592867941698,NaN,0.00567013797999943,0,0,0,0.11,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00727369134796509
3,globalize,scan_match_warn,2.39999509254802,9.20009323108182,1.53020891548209,1.66241494403843,9.21718523272345,1.8101093066559,0.737778159066497,0.279900391173804,0.025,-0.39,0.785820126312088,1.03056938093355,1.24032045639089,0.0691706510065462,1.03,Inf,Inf,1,NaN,6.98574154389923,7.67343815160851,0.993517069353179,1.0060671331953,1,0,0,0.785820126312088,1.03056938093355,1.24032045639089,0.112138327688367,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.202868199602011,0.154988731814673,NaN,0.0668653323523976,NaN,0.0105101270752692,0,0,0.0025,0.149,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137708156512371
4,globalize,scan_match_warn,2.40014894495495,9.202644620527,1.49092676082321,1.66975161661805,9.23446950106418,1.81395999799666,0.731090336595209,0.323033237173451,0.025,-0.39,0.741820744508966,0.995225751513808,1.2317541061384,0.0756600844167819,1.04000634375,Inf,Inf,1,NaN,6.98662367640695,7.67298242935457,0.999412627319748,1.04832102178355,1,0,0,0.741820744508966,0.995225751513808,1.2317541061384,0.0729787828686966,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.186445469082065,0.160650944522804,NaN,0.0684483877239867,NaN,0.00566221270813058,0,0,0.005,0.188,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0187769192524985
5,globalize,scan_match_warn,2.40039236914062,9.20509350436891,1.45251262693076,1.67052481169846,9.25873659443163,1.81564080435995,0.73183620607213,0.36312817742919,0.025,-0.39,0.887377352513474,1.02621039862317,1.29184493224468,0.0807374179805505,1.05002539660238,Inf,Inf,1,NaN,6.98738344426627,7.68126235569062,0.999936009280711,1.00142282771735,1,0,0,0.887377352513474,1.02621039862317,1.29184493224468,0.102274207274296,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.218236867725615,0.17101641069931,NaN,0.0706604131701682,NaN,0.010365466176506,0,0,0.0075,0.227,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242794079651192
6,globalize,scan_match_bad,2.4007350499957,9.2075611960208,1.4131109935898,1.74886194480553,9.24653985911727,1.59342323301658,0.653037427294225,0.180312239426778,0.025,-0.39,0.718684561371617,0.924757771993835,1.43727941473901,0.123513919032892,1.06005719208142,Inf,Inf,1,NaN,6.98806065870606,7.60403426103243,0.999273458515467,1.23179360291925,1,0,0,0.718684561371617,0.924757771993835,1.43727941473901,0.460265918732186,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.302924581597978,0.19475988146107,NaN,0.0801740442254585,NaN,0.0237434707617602,0,0,0.01,0.266,search,0,6,1,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0792809357649265
7,globalize,scan_match_warn,2.40118992113462,9.21009791295086,1.37362314349537,1.8140995988108,9.23662838406252,1.49906967086556,0.587689469417046,0.125446527370195,0.025,-0.39,0.807185507161962,0.908613762802845,1.37382314481565,0.118492740909697,1.07010174433233,Inf,Inf,1,NaN,6.98866372819296,7.53984515786661,0.99999771812951,1.13927559114566,1,0,0,0.807185507161962,0.908613762802845,1.37382314481565,0.0793417430326623,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19627306727182,0.195032254907005,NaN,0.0870714096286215,NaN,0.000272373445934976,0,0,0.0125,0.305,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0659862776482565
8,globalize,ok,2.40172351574734,9.21252504696282,1.33516354840368,1.84837256951461,9.22768023320759,1.43243136896059,0.553558442593707,0.0972678205569131,0.025,-0.39,0.865041876578677,0.931676978824092,1.47486877037922,0.11026897098546,1.08015904809973,Inf,Inf,1,NaN,6.9891515299594,7.50472514043985,0.99963638398723,1.06420335218305,1,0,0,0.865041876578677,0.931676978824092,1.47486877037922,0.0746883799430099,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15956948604884,0.188648956512535,NaN,0.0912469706728524,NaN,-0.00638329839446972,0,0,0.015,0.344,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035421828363122
9,globalize,ok,2.40234585910323,9.21491279359619,1.29649338227415,1.87611996613379,9.22013865340517,1.36741439817657,0.526251840892009,0.070921015902413,0.025,-0.39,0.825793475635599,0.928600860744014,1.65002586744692,0.106716259772165,1.09022907873563,Inf,Inf,1,NaN,6.98954308535866,7.4761819632618,0.999999889462905,1.00855536104366,1,0,0,0.825793475635599,0.928600860744014,1.65002586744692,0.129250573635307,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.132244564819193,0.178496166007734,NaN,0.0940314427107287,NaN,-0.0101527905048017,0,0,0.0175,0.383,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0287540161552859
10,globalize,ok,2.40308575782652,9.21735630865131,1.25705026231057,1.89517509402536,9.21276614995981,1.33731356616532,0.507931404777999,0.0802633038547538,0.025,-0.39,0.847740428081502,0.864424120009649,1.70303665418192,0.0981146321409648,1.10031179223693,Inf,Inf,1,NaN,6.9898503840654,7.45575350964123,0.99999400697098,1.0651138445855,1,0,0,0.847740428081502,0.864424120009649,1.70303665418192,0.096579287109706,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.131639696704762,0.170062001533199,NaN,0.0947664168081712,NaN,-0.00843416447453496,0,0,0.02,0.422,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0204316349325226
