step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,fusion_disagreement_large,0.6,14.2,3.12512072563077,-0.529423430501824,14.6310866601841,0,1.20889742904647,3.12512072563077,0.12,0.32,Inf,2.57281314788972,Inf,6.83622077657585,0.127450980392157,5.23598785670417,Inf,1,NaN,21.9863594075963,23.176637586868,0.182540515112213,1.37015850831805,7,0,0,Inf,2.57281314788972,Inf,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.83622077657585,5.23598785670417,0,0,0,0.012,0.032,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,fusion_disagreement_large,0.588055215487496,14.2000068017024,3.15692572438615,-0.00544546076947794,14.5065479419186,0.0210301705445821,0.667989912620306,3.13589555384156,0.16,-0.2,Inf,2.52317181146372,Inf,7.12508303676467,0.0887195360242309,18.8976011673971,Inf,1,NaN,21.9965774986567,22.6630663910985,0.0576969182145914,1.00070544995654,7,0,0,Inf,2.52317181146372,Inf,0.0496413364259931,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.88821598340984,7.69507825262889,0,0,0,0.028,0.052,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.538574790639189
3,globalize,fusion_disagreement_large,0.572076373514309,14.1999175279251,3.13743346493004,0.0910717601255836,14.5192588875726,0.00375979268079796,0.577359802967532,3.13367367224925,0.16,-0.2,Inf,2.51079919650198,Inf,7.13774695114978,0.0709040065834462,4.51151620879545,Inf,1,NaN,22.0101982664462,22.5870701651757,0.0825406241057098,1.00257140733944,5,0,0,Inf,2.51079919650198,Inf,0.0123726149617434,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.93313155760303,7.12203708473887,0,0,0,0.044,0.072,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0973506141158089
4,globalize,fusion_disagreement_large,0.55572322044689,14.2001456504092,3.11785414109379,0.206541528657473,14.486680876839,-0.0300561201529166,0.451697121826196,3.13527504593288,0,0.55,Inf,2.5415757774893,Inf,6.96884902166263,0.061355492749163,4.42311568065241,Inf,1,NaN,22.0243067585554,22.471478767723,0.0432041027164487,1.00562319305435,5,0,0,Inf,2.5415757774893,Inf,0.0307765809873168,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.93956070113376,6.63623123200331,0,0,0,0.044,0.127,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.119977473836404
5,globalize,fusion_disagreement_large,0.555816239948281,14.2001459800037,3.17241770364165,0.227150639825733,14.52697051678,0.0391558034634074,0.463503349009407,3.13326190017824,0.16,-0.2,Inf,2.65667010707068,Inf,7.06112190240581,0.055511149606172,4.40525252957486,Inf,1,NaN,22.0242273405446,22.4748746401256,0.117559798691537,1.00832145776516,6,0,0,Inf,2.65667010707068,Inf,0.115094329581384,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.96144171736273,6.23465506556619,0,0,0,0.06,0.147,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0452547295839899
6,globalize,fusion_disagreement_large,0.539777040880714,14.1998280633859,3.15040486868748,0.354202555621326,14.3458222386618,-0.0816032584218958,0.236119014045416,3.05117718007021,0.16,-0.2,Inf,2.59288032870412,Inf,6.98508306108789,0.0521895350039127,4.26069543800191,Inf,1,NaN,22.0377877733327,22.2721442941419,0.0581985333878354,1.0311146553355,5,0,0,Inf,2.59288032870412,Inf,0.0637897783665635,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.96569715923325,5.87934233260462,0,0,0,0.076,0.167,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.221262034638786
7,globalize,fusion_disagreement_large,0.523902451202479,14.1998833685999,3.12581270057898,0.55786990395255,14.3172041307237,-0.118986991441868,0.122139056290976,3.03838561515874,0.16,-0.2,Inf,2.58575360410452,Inf,6.92630627181717,0.0501778722090988,4.06250271050159,Inf,1,NaN,22.0514035718681,22.0832936299171,0.0593093874920744,1.03446980971794,5,0,0,Inf,2.58575360410452,Inf,0.00712672459960118,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.95860679949836,5.55231120062607,0,0,0,0.092,0.187,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2056681425944
8,globalize,fusion_disagreement_large,0.50771084652965,14.2002837539781,3.10792676005231,0.618088321969593,14.5044083204211,0.0236849163441599,0.323535066103532,3.08424184370815,0.16,-0.2,Inf,2.69151874121151,Inf,7.06633931701263,0.0489599069042087,4.02386950534064,Inf,1,NaN,22.065472103029,22.1303723514196,0.0464794424600117,1.17238287969554,5,0,0,Inf,2.69151874121151,Inf,0.0999759052223843,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.97799865265093,5.2771916954747,0,0,0,0.108,0.207,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.196651128928158
9,globalize,fusion_disagreement_large,0.4917257431966,14.2009706711034,3.0893667322699,0.500734010430311,14.5441735563227,0.038053993128961,0.343321087760974,3.05131273914094,0.16,-0.2,Inf,2.5345368815958,Inf,7.0538515861505,0.0482326468734404,4.14245265238609,Inf,1,NaN,22.0795146598347,22.251019470252,0.0461380365825587,1.00777411486572,4,0,0,Inf,2.5345368815958,Inf,0.222457523445142,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.99165218068085,5.07293866771875,0,0,0,0.124,0.227,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.123908467923588
10,globalize,fusion_disagreement_large,0.475752325623846,14.2019451255599,3.07196008003963,0.527445299997075,14.3631455322335,-0.173071635100424,0.16928595544606,3.03815359203953,0.16,-0.2,Inf,2.6850346269449,Inf,7.17661960239585,0.0478090112994857,4.10546365508309,Inf,1,NaN,22.0936982573631,22.1332251491782,0.0424517014467121,1.01318039789513,4,0,0,Inf,2.6850346269449,Inf,0.22745383922703,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,7.02494631658955,4.89879316544433,0,0,0,0.14,0.247,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.182988082934312
