step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,fusion_disagreement_large,18.8,11,0.886606658938982,19.7487487730201,10.5361303491611,0,1.05607731122136,0.886606658938982,0.08,0.45,Inf,1.11268094170577,Inf,7.1213365194434,0.127450980392157,14.6039186565421,Inf,1,NaN,18.2043950737178,19.1682250181356,0.0690140101945273,1.02335283177345,7,0,0,Inf,1.11268094170577,Inf,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,7.1213365194434,14.6039186565421,0,0,0,0.008,0.045,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,fusion_disagreement_large,18.804869746776,11.0062548164605,0.931925879779215,19.1917380188065,10.4669454644721,0.0409349064004987,0.663718040319851,0.890990973378717,0.12,-0.32,Inf,0.972160190621406,Inf,8.07157845548431,0.08870272506822,4.71789107545518,Inf,1,NaN,18.209127320293,18.6151366722408,0.0452787815799923,1.00171659118508,4,0,0,Inf,0.972160190621406,Inf,0.182339157303224,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.76859077923929,5.76859077923929,NaN,7.29238006793076,12.8244336919465,0,0,0,0.02,0.077,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.561290948242551
3,globalize,fusion_disagreement_large,18.8121631899685,11.0157552763266,0.900208291685393,18.9340835865302,10.7653143435795,0.0627813898014953,0.278541278615948,0.837426901883898,0.16,-0.2,Inf,1.11962078468306,Inf,8.18828753538176,0.0708340418996966,4.33106773443995,Inf,1,NaN,18.2162161840958,18.3450660080672,0.021041733219947,1.000053814292,3,0,0,Inf,1.11962078468306,Inf,0.192005541109322,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.26144762290203,5.31730501109858,NaN,7.45364341207194,11.2956278195953,-0.451285768140706,0,0,0.036,0.097,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.394220489690095
4,globalize,fusion_disagreement_large,18.822129247353,11.0280262837334,0.877157383964475,19.1306317579166,11.0124446977104,0.126972155982047,0.308895750775292,0.750185227982428,0.16,-0.2,Inf,1.04075554170831,Inf,8.10402075977791,0.0612723884161839,4.25515790572549,Inf,1,NaN,18.2259254566902,18.5346840399247,0.0247447901270423,1.02932660848429,4,0,0,Inf,1.04075554170831,Inf,0.0909593835236511,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.80307349481986,5.22474333816842,NaN,7.57071133465902,10.0283432350987,-0.0925616729301693,0,0,0.052,0.117,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.315760345211622
5,globalize,ok,18.8323482439381,11.0400768939164,0.857763999011777,19.1399113152436,11.1383690160684,0.237992222095779,0.322887571931827,0.619771776915997,0.16,-0.2,Inf,1.09078871202161,Inf,7.99572670840174,0.0557508450080581,0.684412381789347,Inf,1,NaN,18.2359005023203,18.5417572616204,0.0736901030157164,1.00710847895671,4,0,0,Inf,1.09078871202161,Inf,0.160772552571733,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.63253996822079,4.75814673157784,NaN,7.64721410193271,8.34643568150304,-0.466596606590572,0,0,0.068,0.137,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.126265767879128
6,globalize,fusion_disagreement_large,18.8428144028695,11.0519961057786,0.842672110480581,19.0717055888642,11.0990255138557,0.130484982306059,0.233672720380784,0.712187128174522,0.16,-0.2,Inf,1.13612571745137,Inf,8.15360415926542,0.0524371433233979,4.57813370366683,Inf,1,NaN,18.2461333999271,18.4741574368897,0.107626331662878,1.00532406917812,4,0,0,Inf,1.13612571745137,Inf,0.0591737980044577,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.6562133602561,14.2797987247399,NaN,7.7383643122526,7.66814132549253,9.52165199316209,0,0,0.084,0.157,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0787396486993844
7,globalize,fusion_disagreement_large,18.8532830432337,11.0635383987957,0.825603258300343,19.0771469472479,11.2586553254814,0.240622384407088,0.296960708848432,0.584980873893254,0.08,-0.45,Inf,1.08890848527755,Inf,7.89093154342254,0.0504147942997276,4.66519381052075,Inf,1,NaN,18.2563837674794,18.4776875616839,0.0879582878922355,1.00209551068799,5,0,0,Inf,1.08890848527755,Inf,0.126490493602785,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.8955065013347,21.770626124527,NaN,7.76582641386319,7.12761077279761,7.49082739978707,0,0,0.092,0.202,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.159722525464414
8,globalize,fusion_disagreement_large,18.858908006868,11.0693625976869,0.779993019882448,19.0770263459143,11.2194219898813,0.163251394809539,0.264751640248127,0.616741625072909,0.12,-0.32,Inf,1.10639459301224,Inf,8.09347209132468,0.0488927776159942,4.71546086174367,Inf,1,NaN,18.2619013986791,18.4779087292191,0.0825180889331438,1.01971822174327,7,0,0,Inf,1.10639459301224,Inf,0.228975422684002,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.2458404825286,27.7961647089673,NaN,7.82480263580626,6.6934237888079,6.0255385844403,0,0,0.104,0.234,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0392335209609656
9,globalize,fusion_disagreement_large,18.8673065401443,11.0774055715786,0.747558613087331,19.1275458567523,11.2012890091712,0.108994460899105,0.288221456554466,0.638564152188226,0.16,-0.2,Inf,1.28265959535669,Inf,7.80622167437946,0.0480281286294453,4.79309630862173,Inf,1,NaN,18.2701547721098,18.5286114302162,0.078292095187751,1.20561246129605,6,0,0,Inf,1.28265959535669,Inf,0.18373287896093,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.324823995525,32.3913233805477,NaN,7.82145806274943,6.35136484237439,4.59515867158039,0,0,0.12,0.254,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.053675189470978
10,globalize,fusion_disagreement_large,18.8795285491935,11.0884780229098,0.724619769385814,19.1325655250555,11.1243517266527,0.0137997538127728,0.255567278370321,0.710820015573041,0.16,-0.2,Inf,1.27843919121159,Inf,8.02126645061428,0.0476275409500346,4.87506996670329,Inf,1,NaN,18.2821828544348,18.5346153699254,0.0848707747510083,1.18006598951726,7,0,0,Inf,1.27843919121159,Inf,0.0100548448872497,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.275080596381,44.6103996793976,NaN,7.85742357256511,6.08563176475359,12.2190762988499,0,0,0.136,0.274,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0771008593415201
