step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,fusion_disagreement_large,0.6,14.2,3.12512072563077,-0.529423430501824,14.6310866601841,0,1.20889742904647,3.12512072563077,0,-0.72,Inf,2.57281314788972,Inf,6.83622077657585,0.127450980392157,5.23598785670417,Inf,1,NaN,21.9863594075963,23.176637586868,0.182540515112213,1.37015850831805,7,0,0,Inf,2.57281314788972,Inf,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.83622077657585,5.23598785670417,0,0,0,0,0.072,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,fusion_disagreement_large,0.599996832989726,14.200000165824,3.05344052739619,-0.100278735865576,14.2532232470851,-0.0720000000000001,0.702295214788298,3.12544052739619,0,-0.72,Inf,2.52434560543451,Inf,7.05609616816963,0.0886892712550607,4.71932168089625,Inf,1,NaN,21.98636220161,22.6149771948596,0.0596417523019201,1.00016542674193,5,0,0,Inf,2.52434560543451,Inf,0.533282796969629,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.87579834706273,5.14298794505874,0,0,0,0,0.144,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.571791857141418
3,globalize,fusion_disagreement_large,0.599920018964893,14.2000096153329,2.98493872406937,-0.0341325520360039,14.1740475612781,-0.144,0.634583872347531,3.12893872406937,0,-0.72,Inf,2.48475441990519,Inf,7.04750820083784,0.07075731847143,4.68157993523481,Inf,1,NaN,21.9864327830369,22.5178699253798,0.0795090791376804,1.01432109809333,5,0,0,Inf,2.48475441990519,Inf,0.420410092107885,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.90670612074225,5.05993450329043,0,0,0,0,0.216,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10317028088659
4,globalize,fusion_disagreement_large,0.599764182964974,14.2000399055592,2.91428927828461,0.0515108991693726,14.4003950678109,-0.216,0.583715559355381,3.13028927828461,0,-0.72,Inf,12.721909954225,Inf,1.05443192122793,0.0610397064263339,0.82405836226918,Inf,1,NaN,21.9865817403358,22.5595477839041,0.377101169676115,3.81536368019798,2,0,0,Inf,12.721909954225,Inf,5.4592847674524,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.85329676482967,4.29747679790661,0,0,0,0,0.288,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.242008252850953
5,globalize,fusion_disagreement_large,0.599807874116025,14.2000281315582,2.8424371426904,0.0847728906728139,14.362947963522,-0.288,0.540188768688747,3.1304371426904,0,-0.72,Inf,13.3054701848051,Inf,0.717783137539786,0.0553200312954394,0.750518933189308,Inf,1,NaN,21.9865382761923,22.5117694527108,0.556833410492945,1.02572080422653,2,0,0,Inf,13.3054701848051,Inf,0.557040351959777,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,4.92890431191749,3.6590243822575,0,0,0,0,0.36,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0500863823648789
6,globalize,fusion_disagreement_large,0.59969246059895,14.200068322791,2.77054182645954,0.204130330414447,14.2164982128683,-0.36,0.395903195395106,3.13054182645954,0,-0.72,Inf,14.3041771926222,Inf,0.534960656945217,0.0517886788123506,0.412749594139723,Inf,1,NaN,21.9866578028668,22.3342303161793,0.608915662960389,1.0033536778287,2,0,0,Inf,14.3041771926222,Inf,0.852825893069349,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,4.13799445402248,3.0746949203963,0,0,0,0,0.432,confirm,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.188927837779913
7,globalize,fusion_disagreement_large,0.599794145300511,14.2000244918546,2.69867995529073,0.26055622192283,14.2657953841267,-0.432,0.345554885550574,3.13067995529074,0,-0.72,Inf,Inf,Inf,0.534960656945217,0.049543715833199,0.449206268257501,Inf,1,NaN,21.986548128207,22.3110459621426,0.608915662960389,1.0033536778287,2,0,0,Inf,Inf,Inf,Inf,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,3.48944837054858,2.60210696301131,0,0,0,0,0.504,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0749272468905347
8,globalize,fusion_disagreement_large,0.599702982528231,14.200071751784,2.62796745380136,0.292257691073263,14.2361808401567,-0.504,0.309558513856318,3.13196745380136,0,0.72,Inf,Inf,Inf,0.534960656945217,0.0480899084584266,0.41648525176903,Inf,1,NaN,21.9866505837288,22.2686337334178,0.608915662960389,1.0033536778287,2,0,0,Inf,Inf,Inf,Inf,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,2.95764058209997,2.2086950549877,0,0,0,0,0.576,confirm,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0433820741879822
9,globalize,fusion_disagreement_large,0.599596204721723,14.2001271397797,2.69819231152366,0.30826045561793,14.3218092448108,-0.432,0.315726231711371,3.13019231152366,0,-0.72,Inf,Inf,Inf,0.534960656945217,0.0471371398929358,0.501273205602068,Inf,1,NaN,21.9867706057223,22.2990270438943,0.608915662960389,1.0033536778287,2,0,0,Inf,Inf,Inf,Inf,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,2.52155819557212,1.90135912209829,0,0,0,0,0.648,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0871109186995464
10,globalize,fusion_disagreement_large,0.599438918983041,14.2002087956338,2.6272833945026,0.532472677777147,14.2620300753858,-0.504,0.0911391688102386,3.1312833945026,0.0998746561120749,-0.72,Inf,Inf,Inf,0.534960656945217,0.0465078400424425,0.489284323455621,Inf,1,NaN,21.9869474358105,22.0762705343061,0.608915662960389,1.0033536778287,2,0,0,Inf,Inf,Inf,Inf,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,2.16397063861927,1.64718565834261,0,0,0,0.0099874656112075,0.72,confirm,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.232044542410972
