step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,scan_match_bad,2,0.8,2.25828691405074,1.77530207227573,1.11048486908149,2.4554905738084,0.383262328767297,0.197203659757657,0.2,-0.72,3.1784758767027,0.846958398231453,1.24087140003094,0.113610743167506,1.01,Inf,Inf,1,NaN,11.0634533487515,10.9802729643353,0.684259125495425,3.61357789629144,3,1,1,3.1784758767027,0.846958398231453,1.24087140003094,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.284865340665695,0.284865340665695,NaN,0.113610743167506,NaN,0,0,0,0.02,0.072,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,pf_cluster_very_wide,1.98787084774548,0.815901734890178,2.1865365973112,1.78161253373176,1.11617952909881,2.37601672573974,0.364292802282149,0.189480128428543,0.2,-0.72,3.39786769846132,0.758224186608567,1.3108624004411,2.57107734393943,1.020402,Inf,Inf,1,NaN,11.0592906927984,10.9718105162934,0.830540916409274,1.02551062544985,2,1,2,3.39786769846132,0.758224186608567,1.3108624004411,0.114314802306127,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.250427713204192,0.278666567722624,NaN,0.555954731306453,NaN,-0.00619877294307042,0,0,0.04,0.144,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00850006332335116
3,globalize,pf_cluster_very_wide,1.97708512457028,0.83233994320091,2.11641133850971,2.05565187744156,0.861136610096988,2.15139052019749,0.0836778506001465,0.0349791816877802,0.0629697626925301,-0.72,3.7843094396087,0.889702333470929,1.34358355641389,2.52963504756863,1.03160791693212,Inf,Inf,1,NaN,11.053878691385,10.9808174892295,0.521839567588247,1.01753357425356,3,0,0,3.7843094396087,0.889702333470929,1.34358355641389,0.584748598255114,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0392881252113815,0.235578448070601,NaN,0.911217188233644,NaN,-0.0430881196520237,0,0,0.046296976269253,0.216,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.374358721594499
4,globalize,pf_cluster_very_wide,1.97392707725807,0.838001458321395,2.04281984110225,2.00427056953798,0.834953892166617,2.04641166919123,0.0304961503014501,0.00359182808898462,0.0559877045777646,-0.72,4.50609861857489,0.908815328483414,1.35484728935033,2.56411155436095,1.04215242078648,Inf,Inf,1,NaN,11.051658223806,11.0341523653879,0.649162786052422,1.01329469849335,2,0,0,4.50609861857489,0.908815328483414,1.35484728935033,0.317661007730743,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00349425364789541,0.193803293074514,NaN,1.20873817413656,NaN,-0.0417751549960869,0,0,0.0518957467270295,0.288,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057667785808924
5,globalize,pf_cluster_medium,1.97143066357791,0.843382986144994,1.96745494940264,2.01348899281625,0.849113622656873,1.97348276238266,0.0424469463348226,0.00602781298001753,0.0597636327084994,-0.72,5.12983018078925,0.90768467178957,1.43165783782683,0.557699794575098,1.05269946656885,Inf,Inf,1,NaN,11.0492199981588,11.0174063982259,0.685366865634332,1.12116221067879,2,0,0,5.12983018078925,0.90768467178957,1.43165783782683,0.241810883927644,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00487458933019313,0.159796126400536,NaN,1.0915512658155,NaN,-0.0340071666739777,0,0,0.0578721099978794,0.36,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0168960733690981
6,globalize,pf_cluster_very_wide,1.96936953825818,0.848835312022201,1.89698102706338,2.01749308372507,0.842810283769341,1.91247414951047,0.0484992432286544,0.0154931224470909,0,-0.436841835578839,6.10029328842213,0.913741222262298,1.43559113042196,2.01071047700559,1.06334595222506,Inf,Inf,1,NaN,11.0464459678213,11.0195746540149,0.77716724609088,1.00919772528596,1,0,0,6.10029328842213,0.913741222262298,1.43559113042196,0.222376673096948,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00344196656048467,0.131652377629327,NaN,1.25699992382971,NaN,-0.0281437487712092,0,0,0.0578721099978794,0.403684183557884,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00746758496016026
7,globalize,pf_cluster_very_wide,1.96937933702307,0.848804174888656,1.85438206920193,2.06193120341766,0.845125344676958,1.86582926015351,0.0926249521719077,0.0114471909515848,0,-0.404095910523325,7.0022710298312,0.925868563768421,1.39154493613725,1.41397288651672,1.07334595222506,Inf,Inf,1,NaN,11.0464630937339,10.9889015215763,0.727679996192873,1.05383249503196,1,0,0,7.0022710298312,0.925868563768421,1.39154493613725,0.193225944278024,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00710653255279798,0.109234125515552,NaN,1.28525505711337,NaN,-0.0224182521137752,0,0,0.0578721099978794,0.444093774610216,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0444983818674147
8,globalize,pf_cluster_very_wide,1.96940309470895,0.84871641098818,1.81593885592982,2.01013134235756,0.886120283204918,1.78629497227656,0.055297737868136,0.0296438836532582,0,-0.4,8.07143115758845,0.966419186683681,1.32292616986088,1.35576726735011,1.08334595222506,Inf,Inf,1,NaN,11.0465138931204,10.9915789247717,0.758918175284495,1.01205708478426,1,0,0,8.07143115758845,0.966419186683681,1.32292616986088,0.203185293237881,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203760683252368,0.126248905908179,NaN,1.29794725495599,NaN,0.017014780392627,0,0,0.0578721099978794,0.484093774610216,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0660591446414193
9,globalize,pf_cluster_very_wide,1.96939887766655,0.848734808827017,1.77629731583853,1.99826322911077,0.877090090489692,1.73726535614307,0.0404619918252334,0.0390319596954587,0,-0.4,9.45924838452587,1.04685175232343,1.41708505233089,1.13835545535986,1.09334595222506,Inf,Inf,1,NaN,11.0465027444702,11.0061728988329,0.762059012501265,1.14031405050346,1,0,0,9.45924838452587,1.04685175232343,1.41708505233089,0.257477644170091,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087728959391982,0.105103224113762,NaN,1.26922073102868,NaN,-0.0211456817944165,0,0,0.0578721099978794,0.524093774610216,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149129639077171
10,globalize,pf_cluster_very_wide,1.96939752598448,0.84874201969246,1.73589606272957,1.99103972827023,0.868661105825911,1.70430058029636,0.0294135158076873,0.0315954824332119,0,-0.4,9.22787311651094,1.03902685229252,1.39748259882714,1.41233743470486,1.10334595222506,Inf,Inf,1,NaN,11.0464981777435,11.01727352701,0.761812797302521,1.19035720566929,1,1,1,9.22787311651094,1.03902685229252,1.39748259882714,0.0648647674682234,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00863351098621864,0.0877386757508043,NaN,1.29498173769039,NaN,-0.0173645483629578,0,0,0.0578721099978794,0.564093774610216,search,0,0,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111007543372292
