step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,pf_cluster_very_wide,9.2,4.6,0.0277179299830408,3.0654015737689,4.91130288396967,0.153542740584293,6.14249194844282,0.125824810601252,0.08,0.45,0.873421759879511,1.21052667243414,1.05129803387407,2.09208585573899,1.01,Inf,Inf,1,NaN,9.21954445729289,4.69412991875725,0.348345747870152,1.21228725672675,5,0,0,0.873421759879511,1.21052667243414,1.05129803387407,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.604819981103137,0.604819981103137,NaN,2.09208585573899,NaN,0,0,0,0.008,0.045,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,pf_cluster_very_wide,9.20767883425513,4.60037728892304,0.0704703479622037,1.04336263882054,4.99506854599387,0.178698178807593,8.1738509973845,0.108227830845389,0,0.55,0.751190596082425,1.22227113747666,1.05232037801911,3.58482406202161,1.02006432,Inf,Inf,1,NaN,9.22669664171006,4.2021215450723,0.13483355461959,1.02190085672665,8,0,0,0.751190596082425,1.22227113747666,1.05232037801911,0.0887930587238464,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.107718051911402,0.515341633848624,NaN,2.36077873286986,NaN,-0.0894783472545123,0,0,0.008,0.1,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02377324337028
3,globalize,pf_cluster_very_wide,9.20766960987941,4.6003763769644,0.126617190944422,7.00843300637475,4.95812660665622,0.0352502011240176,2.22814426486242,0.0913669898204046,0,0.55,0.803139118482319,1.3051467743522,0.997190712362771,3.58772557169842,1.03006432,Inf,Inf,1,NaN,9.22668786052064,7.47225918124002,0.0807819862460637,1.01538553532246,8,0,0,0.803139118482319,1.3051467743522,0.997190712362771,0.0609307584170509,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0938289475103754,0.43946935030774,NaN,2.581629163859,NaN,-0.0758722835408848,0,0,0.008,0.155,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.96518475797316
4,globalize,pf_cluster_very_wide,9.20774076128267,4.60038742664599,0.181517701033657,0.818245114776228,5.4060283294477,-3.02784198437489,8.4280896095745,3.07382562177103,0,0.55,0.869582780503933,1.419999993853,1.00168164370518,3.780775704698,1.04006432,Inf,Inf,1,NaN,9.22675724735093,4.60606446501653,0.441645887568053,1.15970926245167,2,0,0,0.869582780503933,1.419999993853,1.00168164370518,0.546328706439408,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.71069004979684,0.668289076215777,NaN,2.79747554121002,NaN,0.228819725908038,0,0,0.008,0.21,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.20637108837141
5,globalize,pf_cluster_very_wide,9.2076461858781,4.60036734698608,0.236896687841924,0.762959339630821,5.44396922050258,-2.94221357932465,8.48671903930973,3.10407504001301,0,0.55,0.84481517894942,1.46600439424589,0.945564404511235,3.12558562167016,1.05006432,Inf,Inf,1,NaN,9.22666279642583,4.64411693774994,0.551559452180558,1.03790002461352,2,0,0,0.84481517894942,1.46600439424589,0.945564404511235,0.205241043023972,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0467715981919902,0.556415930171495,NaN,2.85653535569285,NaN,-0.111873146044282,0,0,0.008,0.265,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0670524283487667
6,globalize,pf_cluster_very_wide,9.207625405464,4.60036171338316,0.292579857730365,0.791756832646627,5.45627407574934,-2.85800405340615,8.45928069087356,3.13260139604307,0,0.55,0.868134145265573,1.42216726100039,0.920002201065469,3.71274676594807,1.06006432,Inf,Inf,1,NaN,9.2266415401896,4.65628137232957,0.526007895790017,1.12541483127795,2,0,0,0.868134145265573,1.42216726100039,0.920002201065469,0.253682933639418,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00843677621389863,0.457779682459128,NaN,3.01065340953879,NaN,-0.0986362477123674,0,0,0.008,0.32,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0313162109240425
7,globalize,pf_cluster_very_wide,9.20765557340895,4.60037169393521,0.346417298904495,0.791940134155892,5.50162834936305,-2.78682458686385,8.46383659538836,3.13324188576835,0,0.55,0.817962240079451,1.29885667908452,0.86481759921869,3.20532250492584,1.07006432,Inf,Inf,1,NaN,9.22667314112397,4.70163525775572,0.31800610712899,1.00922330990521,2,0,0,0.817962240079451,1.29885667908452,0.86481759921869,0.203325563440493,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00854960914250102,0.376918269262135,NaN,3.04569384670846,NaN,-0.0808614131969929,0,0,0.008,0.375,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0453546440231914
8,globalize,pf_cluster_very_wide,9.20767703096174,4.60038010884363,0.401051030540974,0.790706558825695,5.50454145648527,-2.74260097402598,8.46539424193459,3.13953330261263,0,0.55,0.898924924311693,1.31513915750543,0.830139803955522,3.53624289982375,1.08006432,Inf,Inf,1,NaN,9.22669615998359,4.70455063569704,0.486913809940913,1.01415539671896,2,0,0,0.898924924311693,1.31513915750543,0.830139803955522,0.152303539526128,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00640561009473008,0.310225990612002,NaN,3.13399267626921,NaN,-0.0666922786501329,0,0,0.008,0.43,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00316352670303231
9,globalize,pf_cluster_very_wide,9.20767006788888,4.60037693463367,0.454387385313,0.788083183734571,5.50745561156295,-2.6884591697686,8.46830768370889,3.14033875209799,0,0.55,0.839827263997629,1.27336977951082,0.850715838416891,3.76906205204066,1.09006432,Inf,Inf,1,NaN,9.22668850757249,4.70747069511276,0.321460314299804,1.07668002422856,2,0,0,0.839827263997629,1.27336977951082,0.850715838416891,0.175144218323338,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00349673204493473,0.25501472406993,NaN,3.24830516390807,NaN,-0.0552112665420722,0,0,0.008,0.485,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00392101985273269
10,globalize,pf_cluster_very_wide,9.20774802586611,4.60041762483461,0.507719347312703,0.792248571075452,5.49867164226624,-2.63620887820722,8.46330262683628,3.13925708165967,0,0.55,0.895945179825488,1.24761838860862,0.821294825626506,3.23457415865994,1.10006432,Inf,Inf,1,NaN,9.22677630538473,4.69867803605304,0.330269580154824,1.10756243310334,2,0,0,0.895945179825488,1.24761838860862,0.821294825626506,0.134432208079293,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00640910740007602,0.210265713069356,NaN,3.24583358296341,NaN,-0.0447490110005737,0,0,0.008,0.54,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0097215517436867
11,globalize,pf_cluster_very_wide,9.20786077511422,4.60048450652268,0.563074348855575,9.17016250723701,4.68394470655969,0.578818720371737,0.091579279267521,0.015744371516162,0,0.55,0.926748504108158,1.28887275313383,0.77564995902154,4.18999785947409,1.11006432,Inf,Inf,1,NaN,9.2269065941963,9.22738570133324,0.315415878124707,1.09851877694231,2,0,0,0.926748504108158,1.28887275313383,0.77564995902154,0.167094388898357,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0336262118469344,0.17847060284932,NaN,3.41578315273533,NaN,-0.031795110220036,0,0,0.008,0.595,search,0,11,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.417435589388
12,globalize,pf_cluster_very_wide,9.20779948870672,4.60044333238732,0.620065045655703,9.17884010053874,4.73498741571283,0.66922281496482,0.13762542105645,0.049157769309117,0,0.55,1.0374536055865,1.2435177184957,0.775099906935712,4.15530483283538,1.12006432,Inf,Inf,1,NaN,9.2268337887373,9.25684003276573,0.442952113515959,1.00724089505327,2,0,0,1.0374536055865,1.2435177184957,0.775099906935712,0.215094786471292,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0440902343702175,0.154282136523082,NaN,3.54889705515334,NaN,-0.0241884663262385,0,0,0.008,0.65,search,0,12,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0517750787850884
