step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,scan_match_bad,9.2,8.4,0.26499097777809,0.543196779511736,1.51713465389484,-3.00373828099764,11.059569493017,3.01445604840385,0,0.55,0.855817413068187,1.54492576913158,0.939197293923568,0.079670978985154,1.01,Inf,Inf,1,NaN,11.327841806805,0.761728301870172,0.652317434985395,2.34490345388954,3,0,0,0.855817413068187,1.54492576913158,0.939197293923568,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.316822620348307,0.316822620348307,NaN,0.079670978985154,NaN,0,0,0,0,0.055,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,pf_cluster_very_wide,9.20019899964776,8.40006004939671,0.321143613797657,8.78068046636818,8.44092091957831,0.466272855926227,0.421503749066412,0.145129242128571,0,0.55,0.807705276227859,1.70144776937605,0.89976301045799,2.96537847651586,1.02,Inf,Inf,1,NaN,11.3280296604537,11.0487525633223,0.423599711269576,1.03297985360673,4,0,0,0.807705276227859,1.70144776937605,0.89976301045799,0.181972183553362,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.172639298493994,0.290869622414531,NaN,0.599098328540681,NaN,-0.0259529979337764,0,0,0,0.11,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7608063705325
3,globalize,pf_cluster_very_wide,9.2001282884806,8.40003430331411,0.377220911584067,8.86341338334774,8.45131620337274,0.470348374457374,0.340597652094455,0.0931274628733072,0,0.55,0.850526570796276,1.72079479896185,0.944707846845429,1.3339477977724,1.03,Inf,Inf,1,NaN,11.3279599520162,11.1158119377194,0.479248878836073,1.22390030612402,3,0,0,0.850526570796276,1.72079479896185,0.944707846845429,0.16901147582834,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0864378221902881,0.254071898374167,NaN,0.731371233002391,NaN,-0.0367977240403637,0,0,0,0.165,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0833834364673952
4,globalize,pf_cluster_very_wide,9.20009649018832,8.40002067814109,0.432420966099251,8.93593965669966,8.44800827424566,0.569994261791375,0.268480245192546,0.137573295692124,0,-0.55,0.859558477093669,1.70558439101114,0.825730168339566,1.39264764906585,1.04,Inf,Inf,1,NaN,11.3279272310801,11.1662681617624,0.641889103103797,1.00106468446188,2,0,0,0.859558477093669,1.70558439101114,0.825730168339566,0.575649671361092,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0768813730134461,0.222177603809237,NaN,0.850400987893814,NaN,-0.0318942945649298,0,0,0,0.22,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0726016716159316
5,globalize,pf_cluster_medium,9.20002604939635,8.39999048049707,0.377572078753326,8.9736373959221,8.42240069226161,0.421483601531287,0.227495142834343,0.0439115227779618,0,0.55,0.855115102280604,1.7484525260942,0.919295589814072,0.489574493473734,1.05,Inf,Inf,1,NaN,11.3278547366297,11.1762847401722,0.686498223892977,1.07428186918318,2,0,0,0.855115102280604,1.7484525260942,0.919295589814072,0.573984631247142,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0399521729849822,0.189377026260871,NaN,0.785452218898199,NaN,-0.0328005775483659,0,0,0,0.275,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0455726650257909
6,globalize,pf_cluster_medium,9.19996107405982,8.39996255076296,0.434373064894557,9.02596927973237,8.41864894149033,0.54072049253545,0.174992358952336,0.106347427640893,0,0.55,0.877816902418584,1.74260085222937,0.904664164171832,0.482230443441645,1.06,Inf,Inf,1,NaN,11.3277878166357,11.2120641402363,0.760776867522109,1.01989317934154,1,0,0,0.877816902418584,1.74260085222937,0.904664164171832,0.56401383466724,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0415548037615371,0.162769026210991,NaN,0.73087229931602,NaN,-0.0266080000498802,0,0,0,0.33,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0524661957548018
7,globalize,pf_cluster_medium,9.19999950850924,8.39998170174044,0.490162424887598,9.04469679382139,8.42397618704587,0.57637174603971,0.157145373824649,0.0862093211521118,0.025,0.39,0.873197944172224,1.67749502111201,0.802059709267848,0.481370752668018,1.07,Inf,Inf,1,NaN,11.3278291658086,11.2294273283499,0.773149568528072,1.00906060626103,1,0,0,0.873197944172224,1.67749502111201,0.802059709267848,0.0866948131288327,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0292925491064173,0.138743260332168,NaN,0.68596202091938,NaN,-0.0240257658788233,0,0,0.0025,0.369,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194704732650148
8,globalize,pf_cluster_medium,9.20221778574195,8.40122149162673,0.529135033754642,9.05354427753597,8.4206307695248,0.600924599480429,0.149935092992932,0.071789565725787,0.025,0.39,0.817689027424023,1.61690834812706,0.82052049702046,0.484268437380885,1.08000646875,Inf,Inf,1,NaN,11.3303059042466,11.2336550804569,0.782551863818167,1.05023629953921,1,0,0,0.817689027424023,1.61690834812706,0.82052049702046,0.0788614655329103,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0250409345249974,0.118276841686877,NaN,0.649657175882451,NaN,-0.0204664186452907,0,0,0.005,0.408,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00945884699474158
9,globalize,pf_cluster_medium,9.2043476936832,8.40252422201485,0.568729301907558,9.05857021938093,8.41987736763374,0.632992865524529,0.146806688120196,0.0642635636169713,0.025,0.39,0.99989864320853,1.65986990265802,0.812487700589147,0.500402955875735,1.09002589641228,Inf,Inf,1,NaN,11.3327593596017,11.2368373293477,0.780843270436683,1.05521973709758,1,0,0,0.99989864320853,1.65986990265802,0.812487700589147,0.080794210966516,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174083318612738,0.100120509918269,NaN,0.622791416281242,NaN,-0.0181563317686086,0,0,0.0075,0.447,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00508209659868496
10,globalize,pf_cluster_medium,9.20653086143536,8.40398384526591,0.609923401815269,9.05881857807157,8.41750645971589,0.663810070934488,0.148329969183937,0.053886669119219,0.124498638082239,0.151962675403984,1.03748865068532,1.63201996600281,0.815269706268483,0.492886291913651,1.10005831594111,Inf,Inf,1,NaN,11.3353575789796,11.2354122741141,0.787016445286827,1.00558009528551,1,0,0,1.03748865068532,1.63201996600281,0.815269706268483,0.0629893907845271,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144103345715576,0.0846926783558607,NaN,0.599408493895076,NaN,-0.015427831562408,0,0,0.0199498638082239,0.462196267540398,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00238388053269636
