step_created,path_revision,path_point_index,x,y
248,1,1,9.48426419615988,7.81223873280755
248,1,2,9.2,7.6
248,1,3,9,7.4
248,1,4,8.8,7.2
248,1,5,8.6,7
248,1,6,8.4,6.8
248,1,7,8.4,6.6
248,1,8,8.4,6.4
248,1,9,8.4,6.2
248,1,10,8.4,6
248,1,11,8.4,5.8
248,1,12,8.4,5.6
248,1,13,8.4,5.4
248,1,14,8.4,5.2
248,1,15,8.4,5
248,1,16,8.4,4.8
248,1,17,8.4,4.6
248,1,18,8.4,4.4
248,1,19,8.4,4.2
248,1,20,8.4,4
248,1,21,8.4,3.8
248,1,22,8.4,3.6
248,1,23,8.4,3.4
248,1,24,8.4,3.2
248,1,25,8.4,3
248,1,26,8.4,2.8
248,1,27,8.2,2.6
248,1,28,8,2.6
248,1,29,7.8,2.6
248,1,30,7.6,2.8
248,1,31,7.4,3
248,1,32,7.2,3.2
248,1,33,7,3.4
248,1,34,6.8,3.6
248,1,35,6.6,3.8
248,1,36,6.4,4
248,1,37,6.4,4.2
248,1,38,6.4,4.4
248,1,39,6.4,4.6
248,1,40,6.4,4.8
248,1,41,6.4,5
248,1,42,6.4,5.2
248,1,43,6.4,5.4
248,1,44,6.4,5.6
248,1,45,6.4,5.8
248,1,46,6.4,6
248,1,47,6.4,6.2
248,1,48,6.4,6.4
248,1,49,6.4,6.6
248,1,50,6.4,6.8
248,1,51,6.4,7
248,1,52,6.4,7.2
248,1,53,6.4,7.4
248,1,54,6.4,7.6
248,1,55,6.4,7.8
248,1,56,6.4,8
248,1,57,6.4,8.2
248,1,58,6.2,8.4
248,1,59,6,8.4
248,1,60,5.8,8.4
248,1,61,5.6,8.2
248,1,62,5.4,8
248,1,63,5.2,7.8
248,1,64,5,7.6
248,1,65,4.8,7.4
248,1,66,4.6,7.2
248,1,67,4.4,7
248,1,68,4.4,6.8
248,1,69,4.4,6.6
248,1,70,4.4,6.4
248,1,71,4.4,6.2
248,1,72,4.4,6
248,1,73,4.4,5.8
248,1,74,4.4,5.6
248,1,75,4.2,5.4
248,1,76,4,5.4
248,1,77,3.8,5.4
248,1,78,3.6,5.6
248,1,79,3.4,5.8
248,1,80,3.2,6
248,1,81,3,6.2
248,1,82,2.8,6.4
248,1,83,2.6,6.6
248,1,84,2.4,6.8
248,1,85,2.4,7
248,1,86,2.4,7.2
248,1,87,2.2,7.4
248,1,88,2,7.4
248,1,89,1.8,7.4
248,1,90,1.6,7.2
248,1,91,1.6,7
248,1,92,1.6,6.8
248,1,93,1.6,6.6
248,1,94,1.6,6.4
248,1,95,1.6,6.2
248,1,96,1.6,6
248,1,97,1.6,5.8
248,1,98,1.6,5.6
248,1,99,1.6,5.4
248,1,100,1.4,5.2
248,1,101,1.4,5
248,1,102,1.2,4.8
248,1,103,1.2,4.6
248,1,104,1,4.4
248,1,105,1,4.2
248,1,106,0.8,4
248,1,107,0.8,3.8
