step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter
1,localize,fusion_disagreement_large,19.4,14.4,-1.36247250661889,18.2705765694982,14.8310866601841,0,1.20889742904647,1.36247250661889,0.14,0.28,Inf,Inf,3.33592704735701,5.14649517278936,0.127450980392157,10.709366247201,Inf,1,NaN,23.3212349587238,22.6886117651161,0.0704609254519116,1.39793714233347,0,0,Inf,Inf,3.33592704735701,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,localize,fusion_disagreement_large,19.4029751233363,14.3867748166188,-1.33656941134092,18.7343243079757,14.7289649395153,0.0175095368976921,0.751124485748164,1.35407894823862,0.14,0.28,Inf,Inf,3.28363528777598,5.69431485625451,0.0887304593875886,11.1165177032607,Inf,1,NaN,23.3158108015346,22.9887226345635,0.0999094352987153,1.00868059204383,0,0,Inf,Inf,3.28363528777598,0.0547665686960321,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,localize,fusion_disagreement_large,19.4064977753878,14.3728647681765,-1.30896211214015,19.0962826683681,14.790683437436,0.0591236748463495,0.520390096951436,1.3680857869865,0.14,0.28,Inf,Inf,3.24574261977961,5.66952029172773,0.0708952534561106,7.56663979892909,Inf,1,NaN,23.3104303370432,23.3128284206291,0.159318117775409,1.0141713710959,0,0,Inf,Inf,3.24574261977961,0.0455272023849018,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,localize,fusion_disagreement_large,19.4105719572322,14.358564059331,-1.27754886299993,19.153511889986,14.4689913271511,-0.0362251713685553,0.279775016130545,1.24132369163138,0.14,0.28,Inf,Inf,3.2503661466152,6.21148107537266,0.0613090586582593,7.58433206816384,Inf,1,NaN,23.3052719858174,23.1642337210719,0.187501547745372,1.00145044111613,0,0,Inf,Inf,3.2503661466152,0.0621925841667985,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,localize,fusion_disagreement_large,19.4148358796885,14.345162071906,-1.24798515273327,19.2077074617551,14.4936896516339,0.00483295983944965,0.254877663704508,1.25281811257272,0.14,0.28,Inf,Inf,3.25886356542789,6.45348550962713,0.0557417273875718,7.63354169606452,Inf,1,NaN,23.3008053415022,23.2224328854273,0.174642286184268,1.00143601327484,0,0,Inf,Inf,3.25886356542789,0.0307105444996909,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,localize,fusion_disagreement_large,19.4195240263842,14.3317421596614,-1.22142946123466,19.3228259648857,14.3797855032678,-0.0421564639487291,0.107975358126105,1.17927299728593,0.14,0.28,Inf,Inf,3.12644711449288,4.61664573440135,0.0523731894202772,7.73105841197538,Inf,1,NaN,23.2966784610827,23.2470793999476,0.302491801476545,1.0122098403385,0,0,Inf,Inf,3.12644711449288,0.0818334722636538,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,localize,fusion_disagreement_large,19.4244627929959,14.3187651055552,-1.19286120707927,19.4224919004874,14.4438996022226,0.0360960958278516,0.125150016673952,1.22895730290712,0.14,-0.28,Inf,Inf,3.1591693970762,4.81926681848568,0.0502913071798471,7.83012346147397,Inf,1,NaN,23.293022892409,23.3653537859013,0.425036613399168,1.00119330611958,0,0,Inf,Inf,3.1591693970762,0.117559227630296,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,localize,fusion_disagreement_large,19.4293902727862,14.3058308080479,-1.22075620108699,19.5380184646765,14.5367070325059,0.0874995959818503,0.255154688558391,1.30825579706884,0.14,-0.28,Inf,Inf,3.23586912957339,4.67468870541092,0.0489940118832635,18.8076422279111,Inf,1,NaN,23.2893910651122,23.5134077980697,0.492816584061198,1.00859944643585,0,0,Inf,Inf,3.23586912957339,0.131797707790423,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,localize,fusion_disagreement_large,19.4342141940279,14.2920593950135,-1.24697882742908,19.5786378789812,14.4936677399576,0.0172018514946766,0.248000253077585,1.26418067892376,0.14,-0.28,Inf,Inf,3.20398667450664,0.357379902819167,0.0481850708289876,18.804079617015,Inf,1,NaN,23.2851908899863,23.5206866185882,0.553152249183271,1.04270510059133,0,0,Inf,Inf,3.20398667450664,0.0361580619462456,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,localize,fusion_disagreement_large,19.4384639705816,14.2787447662024,-1.27669413712319,19.6091977347188,14.5045246294534,-0.000521433156000395,0.283066361240765,1.27617270396719,0.14,-0.28,Inf,Inf,3.21287466809034,0.370213184654303,0.0476863194141678,18.8102634397699,Inf,1,NaN,23.2808028888569,23.5517600974686,0.704325536501631,1.0018971424978,0,0,Inf,Inf,3.21287466809034,0.0604930227692237,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,localize,fusion_disagreement_large,19.4423433506299,14.2653303643258,-1.30186880634378,19.6805472070675,14.5589894428981,0.0278166114070495,0.378122641017056,1.32968541775083,0.14,-0.28,Inf,Inf,3.33432804097586,0.205712173346059,0.0473826462645803,18.8867912487325,Inf,1,NaN,23.2760640338781,23.6415030822508,0.755538968970987,1.00773793681652,0,0,Inf,Inf,3.33432804097586,0.11254178975951,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,localize,fusion_disagreement_large,19.4459494534904,14.2514565780117,-1.33113377752265,19.7686798325381,14.5200610282187,-0.0447429440292995,0.419884803525043,1.28639083349335,0.14,-0.28,Inf,Inf,3.27030356388656,0.206077131026362,0.0472020489785576,18.9214075497328,Inf,1,NaN,23.2708417876289,23.6897949664341,0.965824963570787,1.00070956266048,0,0,Inf,Inf,3.27030356388656,0.0653719727176221,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,localize,fusion_disagreement_large,19.449223826048,14.2370888939529,-1.36231590414603,19.8618438600992,14.4951244137859,-0.100536841577571,0.486659657251215,1.26177906256846,0.14,0.32,Inf,Inf,3.28087630788649,0.20456443711787,0.0470971313791613,18.968940033567,Inf,1,NaN,23.2650689306099,23.7506444410553,0.982485843790437,1.00686738920799,0,0,Inf,Inf,3.28087630788649,0.0674504129371711,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,localize,fusion_disagreement_large,19.4523797747718,14.2232993292055,-1.32929645919195,19.8101344745537,14.4653407508951,-0.102167409306808,0.43194036050079,1.22712904988514,0.14,0.32,Inf,Inf,3.24721685290109,0.203120562815943,0.047037587006785,18.889300880278,Inf,1,NaN,23.2595465945783,23.6912840654294,0.989371660511431,1.00065055100712,0,0,Inf,Inf,3.24721685290109,0.0837709385931935,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,localize,fusion_disagreement_large,19.4560032658853,14.2095538219691,-1.29679804778325,19.8745440080733,14.3102400955163,-0.245946485519132,0.430481217420821,1.05085156226411,0.14,0.32,Inf,Inf,3.25138876433238,0.204507645308688,0.0470075490556903,18.8584085010214,Inf,1,NaN,23.2544364454645,23.6533027333575,0.999965900702833,1.00024868620209,0,0,Inf,Inf,3.25138876433238,0.0235685306076094,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,localize,fusion_disagreement_large,19.4599892299596,14.1962379005897,-1.26309553092267,19.7652323188921,14.338668942857,-0.187962162211909,0.336838158679205,1.07513336871076,0.14,0.32,Inf,Inf,3.14295733682729,0.203662457797537,0.046984270621345,18.7552915696986,Inf,1,NaN,23.2498791137422,23.5808641520732,0.995523606661827,1.00135720676175,0,0,Inf,Inf,3.14295733682729,0.0645723234444024,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,localize,fusion_disagreement_large,19.4641830198664,14.1837081599017,-1.23252472214878,19.8874178178841,14.406867842219,-0.0607594824266102,0.478464145015192,1.17176523972217,0.14,0.32,Inf,Inf,3.13299746860077,0.205209895090184,0.0469799458622707,18.8535830151598,Inf,1,NaN,23.2459572480979,23.7199090574592,0.999515576272416,1.00026739208096,0,0,Inf,Inf,3.13299746860077,0.100186504760546,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,localize,fusion_disagreement_large,19.4690402710653,14.1705914644414,-1.19976177272492,19.9188268270891,14.4316429615647,0.00316173249243201,0.52005368004666,1.20292350521735,0.14,0.32,Inf,Inf,3.11274719375966,0.208123213332445,0.0469826195208417,18.8728689982718,Inf,1,NaN,23.2422381333178,23.7598698858234,0.993300791959426,1.00014705080589,0,0,Inf,Inf,3.11274719375966,0.0146559374090138,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,localize,fusion_disagreement_large,19.4742348049443,14.1578265896042,-1.16888189378288,4.25931674118626,3.91179323208554,0.898437502999201,18.3432530171247,2.06731939678208,0.14,-0.32,Inf,Inf,3.15519456948255,0.20540791017515,0.0469842778769862,18.7097349578657,Inf,1,NaN,23.2390060309375,4.93544055018533,0.999975238533142,1.02062144436489,0,0,Inf,Inf,3.15519456948255,0.122201060807081,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,localize,fusion_disagreement_large,19.4794335187008,14.1450386310446,-1.20046144690801,19.7499332923057,14.2630051694715,-0.211182203071361,0.295103764307976,0.989279243836649,0.14,-0.32,Inf,Inf,3.10635795403762,0.208289059360651,0.0469870329541021,18.6097691527069,Inf,1,NaN,23.2357715926012,23.5244055261927,0.999999999997855,1.00152018459897,0,0,Inf,Inf,3.10635795403762,0.0996779235748573,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,localize,fusion_disagreement_large,19.4842708978921,14.1319592627207,-1.23263864423991,19.6270853251913,14.2066267043176,-0.323398706451004,0.161155786366509,0.90923993778891,0.14,-0.32,Inf,Inf,3.11290102993879,0.211525998669462,0.0469856324279025,18.450876447147,Inf,1,NaN,23.232081457177,23.3916708732565,0.992336307998229,1.00153866569415,0,0,Inf,Inf,3.11290102993879,0.0699459033022207,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,localize,fusion_disagreement_large,19.4886865231342,14.1187342174662,-1.26446264911512,4.3051301667447,3.95289817606091,0.80310698903168,18.2725095717143,2.0675696381468,0.14,-0.32,Inf,Inf,3.17607656293287,0.208645160886775,0.0469756797400669,18.4744344497618,Inf,1,NaN,23.2279713580786,4.99699066754723,0.999799751649217,1.00423245290179,0,0,Inf,Inf,3.17607656293287,0.106172923441143,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,localize,fusion_disagreement_large,19.4928235166186,14.1048322848451,-1.29865228408271,19.6125847605806,14.2499341612388,-0.335362516078256,0.188141728726774,0.963289768004458,0.14,-0.32,Inf,Inf,3.153917297649,0.219328261364718,0.0469767432873219,18.4541459074782,Inf,1,NaN,23.2232485985895,23.4051080297531,0.999999999999999,1.00439659844636,0,0,Inf,Inf,3.153917297649,0.022996248919209,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
