omega_turn,var_x,var_y,var_theta
0,0.000101425847207623,0.000100180316077888,0.00038918539245198
1,0.000125060422360144,0.000117442821651698,0.000474912892051124
2,0.000146783638268153,0.000147670007753738,0.000552955747911125
3,0.000174724000899931,0.000166231635076755,0.000583655281399453
4,0.000192406795566185,0.000190431988760601,0.000719028214259395
5,0.000223587132386507,0.000224132210563912,0.000802106913059198
6,0.00024153197773267,0.000250941206171924,0.000868821504108649
7,0.000282126188598687,0.000290261446515739,0.000965172242816211
8,0.000336179979752771,0.000309803638828264,0.00110844112497229
9,0.000377225477355506,0.00036429486774656,0.00119372741927139
